,ARM,HR1_10SCALE,HR2_1,HR2_2,HR2_3,HR2_4,HR2_5,HR3,HR4,HR5,HR6,HR7_1,HR7_2,HR7_3,HR7_4,HR8,HR11,HR12_1,HR12_2,HR12_3,HR12_4,HR12_5,HR13,HR14,COVID_HR1,COVID_HR2,COVID_HR3,STIMULUS2,STIMULUS3,STIMULUS4,STIMULUS5,STIMULUS6,POLICY1,POLICY2,POLICY3,POLICY4,PERSONAL2,PERSONAL3,PERSONAL4,WORRY_1,WORRY_2,WORRY_3,WORRY_4,WORRY_5,WORRY_6,WORRY_7,WORRY_8,MEDIA1,MEDIA2,MEDIA5,MEDIA6_1,MEDIA6_2,MEDIA6_3,MEDIA6_4,MEDIA6_5,MEDIA6_6,MEDIA6_7,MEDIA7,MEDIA9,MEDIA10,MEDIA11,MEDIA12,MEDIA13,MEDIA14,MEDIA15,MEDIA17,MH1,MH2,CHILDCARE1,CHILDCARE2,CHILDCARE3,ELDERLYCARE1,IDEOLOGY1,IDEOLOGY2,IDEOLOGY3,IDEOLOGY4,IDEOLOGY5,IDEOLOGY6,IDEOLOGY7,IDEOLOGY8,CULTURE1_1,CULTURE1_2,CULTURE1_3,CULTURE1_4,CULTURE1_5,CULTURE1_6,CULTURE2_1,CULTURE2_2,CULTURE2_3,CULTURE2_4,CULTURE2_5,CULTURE2_6,CULTURE2_7,RUMORS2,DEMOGRAPHIC2,DEMOGRAPHIC4,DEMOGRAPHIC5,DEMOGRAPHIC6,DEMOGRAPHIC7,DEMOGRAPHIC8,DEMOGRAPHIC9,DEMOGRAPHIC10,DEMOGRAPHIC11,DEMOGRAPHIC12,DEMOGRAPHIC13,age,STIMULUS1_WORK_FROM_HOME,STIMULUS1_LOST_JOB,STIMULUS1_FURLOUGHED,STIMULUS1_REDUCED_HOURS,STIMULUS1_PAY_CUT,STIMULUS1_WORK_MORE_HOUR,STIMULUS1_INCREASED_PAY,STIMULUS1_Nothing changed,POLICY5_EVERYONE_SD,POLICY5_AFFECTED_AREA_SD,POLICY5_VOLUNTARY_SD,POLICY5_OLD_PEOPLE_SD,POLICY5_CLOSE_SCHOOL,POLICY5_CLOSE_UNIVERSITY,POLICY5_CANCEL_LARGE_EVENT,POLICY5_OTHER,POLICY6_EVERYONE_SD,POLICY6_AFFECTED_AREA_SD,POLICY6_VOLUNTARY_SD,POLICY6_OLD_PEOPLE_SD,POLICY6_CLOSE_SCHOOL,POLICY6_CLOSE_UNIVERSITY,POLICY6_CANCEL_LARGE_EVENT,POLICY6_OTHER,PERSONAL1_WFH,PERSONAL1_STAY_HOME,PERSONAL1_DISTANCE_OLD_PEOPLE,PERSONAL1_DISTANCE_FAM_MEMBERS,PERSONAL1_KEEP_KIDS_HOME1,PERSONAL1_KEEP_KIDS_HOME2,PERSONAL5_WASH_HAND_OFTEN,PERSONAL5_USE_HAND_SANITIZER,PERSONAL5_TEST_COVID,PERSONAL5_CHANGE_TRAVEL,PERSONAL5_AVOID_CONTACT_OTHERS,PERSONAL5_AVOID_OLDER_ADULTS,PERSONAL5_AVOID_GATHERING,PERSONAL5_SOUGHT_INFO,PERSONAL5_SELF_QUARANTINED,PERSONAL6_SELF_COMPLICATION,PERSONAL6_SOMEONE_COMPLICATION,PERSONAL6_NO_FOOD,PERSONAL6_FEELING_ANXIOUS,PERSONAL6_LACK_CARE,PERSONAL6_LACK_ACCESS,PERSONAL6_KIDS_EDU,PERSONAL6_CANNOT_PAY_RENT,PERSONAL6_CANNOT_TAKE_CARE_OTHER,PERSONAL6_CANNOT_WORK,PERSONAL6_LONG_TERM_FINANCIAL,PERSONAL6_OTHER,PERSONAL7_REDUCED_INCOME,PERSONAL7_LOST_MY_JOB,PERSONAL7_LOSS_CHILDCARE,PERSONAL7_GETTING_FOOD,PERSONAL7_GETTING_SUPPLIES,PERSONAL7_GETTING_MEDICATIONS,PERSONAL7_TRANSPORTATION,PERSONAL7_ACCESS_HEALTHCARE,PERSONAL7_NONE,PERSONAL7_OTHER,MEDIA3_TV,MEDIA3_SOCIAL_MEDIA,MEDIA3_NEWSPAPER,MEDIA3_MAGAZINE,MEDIA3_BLOG,MEDIA3_GOV_WEBSITE,MEDIA3_HEALTH_WEBSITE,MEDIA3_FRIENDS_FAMILY,MEDIA3_HEALTH_PRACTITIONERS,MEDIA3_HEALTH_RESEARCHER,MEDIA3_SCIEN_ARTICLES,MEDIA3_OTHER,MEDIA4_TV,MEDIA4_SOCIAL_MEDIA,MEDIA4_NEWSPAPER,MEDIA4_MAGAZINE,MEDIA4_BLOG,MEDIA4_GOV_WEBSITE,MEDIA4_HEALTH_WEBSITE,MEDIA4_FRIENDS_FAMILY,MEDIA4_HEALTH_PRACTITIONERS,MEDIA4_HEALTH_RESEARCHER,MEDIA4_SCIEN_ARTICLES,MEDIA4_OTHER,MEDIA8_DIABETES,MEDIA8_HEART_DISEASE,MEDIA8_CANCER,MEDIA8_HIV,MEDIA8_ASTHMA,MEDIA8_LUNG_DISEASE,MEDIA8_OTHER,MEDIA8_NONE,MEDIA8_HYPERTENSION,MEDIA16_SOUP_KITCHEN,MEDIA16_SCHOOL,MEDIA16_FOOD_STAMPS,MEDIA16_COMMUNITY,MEDIA16_FOOD_ASSIS,MEDIA16_DONT_KNOW,RUMORS1_ACCIDENTLY_ESCAPED,RUMORS1_PURPOSEFULLY_LEAKED,RUMORS1_USARMY_BROUGHT,RUMORS1_BAT_TO_HUMANS,RUMORS1_BAT_ANIMAL_HUMANS,RUMORS1_WET_MARKET,RUMORS1_OTHER,DEMOGRAPHIC1_EMPLOYED,DEMOGRAPHIC1_UNEMPLOYED,DEMOGRAPHIC1_RETIRED,DEMOGRAPHIC1_STUDENTS,DEMOGRAPHIC1_OTHER
231,1,1,3,2,2,3,3,3,0,0,1,0,0,0,0,2,B,2,2,2,0,2,E,E,NA,NA,A,C,0,0,D,B,0,1,B,B,2,0,3,1,1,3,2,0,0,0,2,1,C,C,2,3,3,3,1,2,2,3,B,1,2,0,B,No,B,B,0,0,Yes,C,No,No,A,H,D,A,0,0,A,E,3,3,3,3,3,3,1,4,5,5,5,5,1,F,No,CA,92225,Yes,No,A,3,Female,0,A,0,27,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
232,2,10,5,4,5,5,5,4,4,4,4,4,4,4,4,3,A,2,2,2,2,2,D,E,All,NA,A,A,2,2,A,C,1,2,C,B,2,4,4,3,3,3,3,3,3,3,3,3,B,A,5,5,5,5,4,3,3,4,A,1,3,1,B,No,B,B,1,1,Yes,A,No,No,A,A,A,B,2,4,D,D,5,5,4,5,5,4,5,5,4,5,5,4,4,B,Yes,GA,30301,Yes,No,A,4,Female,4,A,2,42,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0
233,1,5,1,1,1,4,3,0,1,1,1,2,1,1,3,1,A,1,1,1,1,1,E,F,All,B,C,A,2,0,D,E,0,1,B,B,1,1,4,3,3,3,3,2,3,0,3,3,C,F,3,4,5,4,4,1,1,3,A,1,0,0,B,No,B,B,1,3,No,C,No,No,A,A,A,B,0,3,C,C,3,4,3,3,3,2,4,3,2,3,4,2,4,G,Yes,NE,68104,Yes,No,E,3,Female,2,A,0,70,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
234,1,5,2,2,4,3,3,3,3,2,2,3,3,3,3,1,A,1,1,0,1,1,E,A,NA,NA,C,C,1,1,D,C,0,1,B,B,3,2,3,2,2,3,2,2,2,2,2,2,B,D,3,3,3,4,2,4,2,4,A,1,2,2,B,No,B,B,0,0,Yes,C,No,Yes,A,A,A,C,0,2,D,C,3,4,2,2,2,2,2,3,3,3,3,3,3,A,Yes,MA,1960,Yes,No,B,2,Male,7,A,0,43,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
235,2,1,5,3,5,5,5,2,4,4,1,0,1,1,4,0,B,2,2,2,2,2,C,E,NA,NA,A,B,3,1,A,B,2,1,C,B,2,1,4,3,3,3,3,3,3,3,3,3,A,E,2,4,4,1,1,1,1,4,B,4,0,0,B,No,B,A,3,3,No,B,No,No,A,A,A,B,2,3,A,D,5,5,5,5,4,4,3,4,2,2,5,5,2,F,Yes,LA,71446,Yes,No,A,3,Female,2,C,0,26,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0
236,1,6,1,1,2,5,5,4,1,3,1,3,3,3,3,1,A,1,2,1,0,2,E,E,Some,B,C,C,2,2,A,C,0,0,B,B,3,1,4,1,1,2,3,0,0,3,1,1,C,C,1,1,3,0,0,5,3,3,B,1,0,0,B,No,B,B,0,0,Yes,A,No,No,A,A,A,B,0,2,D,D,2,4,2,2,3,2,2,2,5,5,5,5,2,D,No,CA,93928,Yes,No,A,3,Female,4,B,1,35,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
237,0,9,5,4,5,5,5,4,2,3,1,4,3,3,3,2,A,2,2,2,2,2,E,F,NA,NA,C,C,2,1,A,C,1,0,C,A,3,1,4,3,3,3,3,2,2,0,2,2,C,D,5,5,5,5,3,3,2,2,A,3,4,0,B,Yes,A,B,1,0,No,A,No,No,A,A,A,B,-1,3,D,D,3,4,2,3,1,2,3,5,4,3,4,5,4,F,Yes,NC,28405,Yes,No,A,3,Female,3,A,1,66,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
238,2,10,5,5,4,5,4,4,4,4,3,4,3,3,4,3,B,2,2,2,2,2,C,F,Some,C,A,C,2,3,A,D,1,2,B,B,2,4,3,1,0,0,2,2,1,2,2,3,C,C,3,4,3,5,3,2,4,3,B,3,3,1,B,No,B,A,1,1,Yes,A,Yes,No,B,B,A,B,1,4,C,C,5,4,3,4,5,4,5,4,5,3,4,3,5,A,Yes,CA,90001,Yes,Yes,A,4,Male,7,A,2,40,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0
239,1,3,5,5,5,5,5,4,2,4,2,4,4,4,4,3,B,2,2,2,2,2,E,A,Some,B,A,C,1,2,A,C,0,1,B,B,3,1,4,3,0,3,3,3,3,3,3,3,A,C,5,5,5,5,5,5,5,4,A,4,0,0,B,No,B,B,0,0,Yes,A,No,No,A,A,A,B,2,4,D,D,4,5,1,3,5,3,3,5,2,5,5,5,5,A,No,TX,75201,Yes,No,A,4,Male,6,A,2,42,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0
240,1,1,0,0,0,0,2,0,1,4,2,4,0,1,0,1,A,0,1,0,1,1,E,F,All,C,B,C,1,1,A,D,0,0,B,B,3,1,4,3,3,2,1,1,3,1,2,0,D,D,2,2,3,3,1,3,2,2,A,0,0,0,B,No,B,B,0,1,No,A,No,No,C,H,B,NA,0,0,A,A,4,2,5,5,2,2,5,5,5,5,5,5,1,F,No,TX,79924,Yes,No,A,3,Female,0,A,0,67,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0
241,2,5,5,5,5,5,5,4,4,4,4,1,3,3,4,1,A,2,1,2,2,2,E,B,Some,NA,A,C,3,3,A,B,1,1,B,B,3,1,4,2,2,2,1,3,0,0,0,0,A,C,5,5,5,5,5,5,5,3,B,1,3,1,B,No,B,B,0,0,No,C,No,Yes,C,H,A,A,0,2,A,C,1,5,1,1,5,5,1,5,5,5,5,5,1,A,No,MD,20877,No,No,F,3,Male,2,F,0,50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0
242,1,6,3,4,4,0,4,3,3,3,3,0,0,0,0,1,C,1,1,1,1,1,E,E,Some,C,B,C,2,1,A,A,0,1,B,A,2,1,3,1,0,1,1,1,0,0,1,2,D,D,3,2,2,3,2,1,2,3,A,2,0,0,B,No,B,B,0,0,No,C,No,No,B,B,A,C,2,3,C,C,4,3,3,4,2,3,4,3,3,4,5,4,4,F,No,NY,14225,Yes,No,A,4,Female,0,A,2,61,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0
243,1,2,5,5,5,5,4,4,4,4,4,4,3,4,4,3,B,2,2,2,2,2,C,C,Some,NA,A,B,3,3,A,A,0,2,A,A,3,4,4,3,3,0,1,2,3,1,2,3,A,C,3,3,3,1,2,1,2,4,B,3,4,1,B,Yes,A,A,1,0,Yes,A,Yes,No,A,A,A,A,2,4,A,C,5,5,1,5,5,5,5,5,1,1,1,4,5,A,Yes,CT,10001,Yes,No,A,4,Female,6,B,1,34,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0
244,0,1,4,4,5,5,4,2,1,3,2,3,2,3,4,2,B,2,2,2,1,0,C,B,NA,NA,C,C,2,2,A,B,2,1,B,A,2,3,3,2,3,2,2,2,2,3,2,3,A,A,3,3,5,4,5,5,3,3,A,3,0,0,B,Yes,A,A,1,0,Yes,B,Yes,No,C,A,A,C,1,3,C,C,4,4,3,4,3,4,3,4,4,3,4,4,3,B,Yes,CA,94209,Yes,No,A,3,Male,4,A,2,35,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
245,2,1,2,2,4,4,4,4,2,3,1,4,4,4,4,3,B,2,2,2,2,2,E,F,NA,NA,A,C,1,1,D,D,1,1,C,B,2,1,4,3,3,3,2,2,2,1,1,2,B,F,1,4,4,4,4,3,3,2,A,1,4,0,B,No,B,B,1,1,No,C,No,No,A,A,A,C,-2,4,D,D,2,3,3,3,3,3,1,5,5,5,5,5,1,D,No,CO,80232,Yes,No,I,1,Female,1,A,1,72,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0
246,1,1,5,4,5,5,5,3,3,2,2,1,1,3,2,2,A,2,2,2,2,2,E,A,NA,NA,A,B,2,2,D,D,0,1,B,A,3,1,4,3,2,3,3,2,2,3,3,2,B,C,4,5,3,0,4,3,3,3,B,3,2,1,B,No,B,B,1,0,Yes,B,No,No,B,B,A,B,1,4,C,C,2,4,1,1,3,1,2,4,3,1,3,4,1,A,Yes,FL,33101,Yes,No,B,3,Male,7,A,1,38,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
247,1,6,2,2,4,3,3,4,3,3,2,3,4,3,4,2,C,2,2,0,2,2,F,H,Some,NA,C,C,1,1,A,E,1,2,C,B,3,1,4,3,2,2,3,3,2,3,3,3,A,D,1,1,2,3,3,3,3,3,A,3,2,0,B,No,B,B,0,0,No,A,No,No,A,A,A,B,0,4,D,D,4,5,1,3,3,3,1,4,5,5,5,5,1,A,No,GA,31217,Yes,No,A,3,Female,2,C,0,71,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0
248,2,2,5,4,5,4,4,3,3,3,3,3,2,1,2,2,B,2,2,2,2,1,C,A,NA,NA,A,A,2,3,A,C,1,2,B,B,2,2,4,3,3,2,3,1,1,2,3,3,A,C,4,5,5,4,5,5,3,4,A,3,3,1,B,No,B,B,1,2,Yes,A,No,No,B,B,A,A,1,4,C,C,2,4,1,5,4,5,2,5,4,2,4,5,4,D,Yes,CA,90402,Yes,Yes,A,4,Male,7,A,2,35,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0
249,0,1,2,1,2,4,4,3,2,1,1,4,3,3,3,3,B,2,2,2,2,2,C,D,Some,C,A,B,2,3,D,B,2,1,B,A,2,1,4,2,2,3,3,2,2,3,1,1,B,C,3,2,2,5,3,2,1,3,B,1,4,0,B,No,B,A,2,2,Yes,A,No,No,A,A,A,B,-2,3,D,D,3,1,5,5,1,2,1,5,5,5,4,5,1,B,No,GA,30909,Yes,No,J,1,Female,3,A,0,36,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
250,2,1,1,1,4,4,4,4,3,3,1,4,4,4,3,3,A,2,2,2,2,2,E,F,NA,C,A,C,1,1,D,D,0,0,C,B,3,1,4,2,2,2,2,2,3,3,3,3,C,B,1,4,4,5,4,4,3,3,A,1,0,0,B,No,B,B,0,0,No,C,No,No,A,A,A,B,-1,4,D,D,4,3,2,4,2,2,1,5,5,5,5,5,1,A,No,DE,19808,Yes,No,B,4,Female,3,A,1,70,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1
251,1,7,2,2,4,2,4,2,1,2,1,3,3,3,3,2,A,2,2,0,1,0,E,A,Some,C,C,C,1,1,D,C,0,0,B,A,1,2,3,2,2,3,2,2,2,1,3,1,A,E,3,3,3,4,2,4,3,3,A,2,0,0,A,No,B,B,0,1,Yes,C,No,No,B,H,D,C,0,1,F,E,3,4,3,3,2,2,2,3,4,4,4,4,2,F,Yes,AL,36207,Yes,No,J,2,Female,3,A,0,31,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0
252,0,1,3,3,3,3,3,3,2,0,2,0,0,0,0,0,A,2,2,2,0,2,E,D,NA,D,C,C,0,0,D,B,0,0,A,A,3,2,2,0,0,0,0,0,1,3,3,0,C,F,2,2,2,2,2,3,2,2,A,3,0,0,B,No,B,A,1,1,Yes,A,No,No,C,H,B,NA,0,0,A,A,4,3,3,5,1,1,5,3,3,3,3,3,3,F,No,CA,93722,Yes,No,L,1,Female,1,A,0,34,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
253,2,2,2,2,4,4,4,3,1,2,1,0,3,3,3,2,B,2,2,2,0,2,E,B,NA,C,A,C,2,2,A,C,1,1,B,B,2,2,3,2,2,3,1,1,2,2,2,2,A,C,2,3,2,4,3,2,2,3,A,1,0,0,B,No,B,B,1,0,Yes,A,No,No,A,A,D,A,0,3,D,D,3,4,3,3,4,3,3,4,4,4,4,4,3,F,No,IL,62002,Yes,No,A,4,Male,7,A,2,45,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0
254,0,7,3,3,4,3,3,3,3,3,2,0,0,0,0,0,A,0,0,0,0,0,F,E,NA,NA,C,C,0,0,D,D,0,0,B,B,2,2,0,1,1,1,1,1,1,1,1,1,C,D,2,2,2,3,2,2,2,3,B,0,0,0,B,No,B,B,0,1,No,C,No,No,A,H,A,B,0,2,D,D,3,3,3,3,3,3,2,3,3,3,3,3,3,F,No,GA,31021,Yes,No,A,4,Female,4,C,0,36,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
